year,month,fakex,fakey,city,state
2015,9,282,0,San Francisco,CA
2015,10,283,0,San Francisco,CA
2015,11,284,0,San Francisco,CA
2015,12,285,0,San Francisco,CA
2016,1,286,0,San Francisco,CA
2016,2,287,0,San Francisco,CA
2016,3,288,0,San Francisco,CA
2016,4,289,0,San Francisco,CA
2016,5,290,0,San Francisco,CA
2016,6,291,0,San Francisco,CA
2016,7,292,0,San Francisco,CA
2016,8,293,0,San Francisco,CA
2016,9,294,0,San Francisco,CA
2016,10,295,0,San Francisco,CA
2016,11,296,0,San Francisco,CA
2016,12,297,0,San Francisco,CA
2017,1,298,0,San Francisco,CA
2017,2,299,0,Honolulu, HI
2017,3,300,0,Honolulu, HI
2017,4,301,0,San Francisco,CA
